링크 ID,시작노드 ID,종료노드 ID,시군구명,읍면동명,link_len_m,geometry_wkt,geometry,flower_score,flower_score_overlap_m,maple_score,maple_score_overlap_m,shelter_dist_m,shelter_score,관광지명,tour_dist_m,R,tour_score,streetfood_score
172277,135890.0,135842.0,종로구,명륜3가,8.160044730569613,"LINESTRING (199493.753006 554471.516731, 199487.482004 554466.300646)","LINESTRING (199493.753006 554471.516731, 199487.482004 554466.300646)",0.0,0.0,0.0,0.0,864.1229465593634,0.0,창덕궁,816.2318416105602,300,0.0,0
172276,132036.0,132050.0,종로구,도렴동,42.51994952706884,"LINESTRING (197800.655618 552419.947226, 197812.936634 552425.937355, 197826.984136 552430.706166, 197838.823817 552438.250286)","LINESTRING (197800.655618 552419.947226, 197812.936634 552425.937355, 197826.984136 552430.706166, 197838.823817 552438.250286)",0.0,0.0,0.0607948557521853,0.0,9.769340929701016,0.90230659070299,동화면세점,208.6418341903289,100,0.0,0
218887,132932.0,132933.0,종로구,세종로,14.890501037904729,"LINESTRING (198023.998574 553601.03056, 198009.071102 553601.367094)","LINESTRING (198023.998574 553601.03056, 198009.071102 553601.367094)",0.131652328689516,2.680518660818305,0.131652328689516,2.680518660818305,609.0964287680105,0.0,국립민속박물관,135.05190510413746,100,0.6494809489586254,0
172400,135309.0,135312.0,종로구,와룡동,62.599282223629146,"LINESTRING (199390.373093 553843.105798, 199399.028595 553836.778815, 199406.536115 553833.892571, 199412.0119 553827.676818, 199413.336387 553821.905316, 199417.751863 553809.918235, 199429.851782 553798.152601)","LINESTRING (199390.373093 553843.105798, 199399.028595 553836.778815, 199406.536115 553833.892571, 199412.0119 553827.676818, 199413.336387 553821.905316, 199417.751863 553809.918235, 199429.851782 553798.152601)",0.0,0.0,0.0,0.0,491.619055267251,0.0,창덕궁,218.7636071373429,300,1.0,0
216299,130423.0,130425.0,종로구,궁정동,46.50474440816451,"LINESTRING (197588.800282 553895.598413, 197542.341328 553896.610942)","LINESTRING (197588.800282 553895.598413, 197542.341328 553896.610942)",0.0,0.0,0.1064882362558459,0.0,390.5042385114376,0.0,청와대,161.42970750206158,100,0.3857029249793843,0
222985,128542.0,128541.0,종로구,무악동,18.313593404554524,"LINESTRING (196637.475116 552878.941152, 196638.54257 552897.253819)","LINESTRING (196637.475116 552878.941152, 196638.54257 552897.253819)",0.0587167948477228,0.0,0.0,0.0,720.1738618791514,0.0,국립경찰박물관,365.8414116829371,100,0.0,0
222426,140961.0,141854.0,종로구,이화동,37.18786057495241,"LINESTRING (200613.306081 553060.969711, 200619.9339 553024.344002)","LINESTRING (200613.306081 553060.969711, 200619.9339 553024.344002)",0.0,0.0,0.0,0.0,580.4679468012145,0.0,낙산공원,437.552392653311,100,0.0,0
222419,146223.0,146224.0,종로구,종로6가,26.87605141269952,"LINESTRING (200497.26427 552565.953469, 200514.845134 552545.643663)","LINESTRING (200497.26427 552565.953469, 200514.845134 552545.643663)",0.0,0.0,0.0,0.0,91.83538232475982,0.0816461767524018,동대문종합시장,274.18981912274404,100,0.0,0
4494,136739.0,93309.0,종로구,종로4가,76.53249983833516,"LINESTRING (199706.614349 552298.572745, 199716.508723 552298.794378, 199744.513404 552301.679166, 199744.425601 552319.21533, 199760.945996 552332.311465)","LINESTRING (199706.614349 552298.572745, 199716.508723 552298.794378, 199744.513404 552301.679166, 199744.425601 552319.21533, 199760.945996 552332.311465)",0.2792673070222292,27.349896006189148,0.0,0.0,367.6834337344478,0.0,광장시장,128.4189591069296,200,1.0,0
221823,125855.0,125853.0,종로구,홍지동,54.85130005677929,"LINESTRING (196248.936628 555536.51045, 196281.806951 555580.447268)","LINESTRING (196248.936628 555536.51045, 196281.806951 555580.447268)",0.7102573814056632,54.85130005677929,0.8225859838607195,57.78134357391391,788.0714454648502,0.0,석파정 서울미술관,645.8219401493005,100,0.0,0
