,링크 ID,시작노드 ID,종료노드 ID,시군구명,읍면동명,geometry_wkt,link_len_m,flower_score,maple_score,shelter_score,streetfood_score,tour_score,wind_score
1958,26499,155723.0,155724.0,종로구,창신동,"LINESTRING (201355.166775 553036.488765, 201353.642775 553053.760765)",17.33910495381666,0.0,1.0,0.0,0,0.1920520824937252,0.88
1959,198946,135553.0,137495.0,종로구,봉익동,"LINESTRING (199301.234825 552578.761711, 199334.929195 552599.396248)",39.51069065775813,0.0,1.0,0.0428653029238275,0,0.8596835099270814,0.88
1960,140113,150762.0,150763.0,종로구,창신동,"LINESTRING (201021.283774 552976.417765, 201027.633774 552973.877765, 201031.443774 552975.909765)",11.157159315656171,0.0,0.0,0.0,0,0.2402206997044101,0.88
1961,134614,147948.0,147936.0,종로구,통인동,"LINESTRING (197300.403058 553480.020811, 197323.127168 553482.110384)",22.81998012821204,0.7463767382678417,1.0,0.5263582302516074,0,0.990271450125989,0.88
1962,239091,133856.0,133857.0,종로구,계동,"LINESTRING (198838.263733 553725.219182, 198833.300997 553766.227059, 198831.995013 553783.466039)",58.595456485455614,0.0,0.0,0.0,0,0.8511955277965055,0.88
1963,150326,193304.0,149141.0,종로구,창신동,"LINESTRING (200932.873226 553239.125121, 200873.364353 553317.32926)",98.27101934759204,0.0,0.0,0.0,0,0.1669484244839695,0.88
1964,255297,153030.0,153032.0,종로구,창신동,"LINESTRING (200919.429774 552564.429765, 200949.401774 552553.507765)",31.900013636229,0.0,0.0,0.5558653748722894,0,0.9342926086707246,0.88
1965,150327,128233.0,128234.0,종로구,구기동,"LINESTRING (196361.686724 556516.627961, 196391.463144 556506.702488)",31.3871026225398,0.0,0.0,0.0,0,0.0,0.84
1966,236207,159494.0,159548.0,종로구,창신동,"LINESTRING (201152.474774 552810.047765, 201131.646774 552782.615765, 201119.962774 552768.645765)",52.6549942975154,0.0,0.6571507606129583,0.0,0,0.2822770052773249,0.88
1967,238292,127690.0,127692.0,종로구,구기동,"LINESTRING (195926.981857 557157.544515, 195947.416516 557154.990182)",20.59368530378944,0.0,0.0,0.0,0,0.0,0.84
1968,160258,167423.0,14335.0,종로구,부암동,"LINESTRING (196803.304988 555064.962186, 196804.610972 555078.283216, 196807.09234 555088.600484)",23.996361907284943,0.0,0.025626380406058,0.0,0,0.2515063572681968,0.88
1969,248535,136189.0,136190.0,종로구,명륜2가,"LINESTRING (199788.67678 554019.342954, 199799.385844 554028.484837)",14.08041436862327,0.0,0.6030616986298367,0.0,0,0.1543562015535047,0.88
1970,198190,154037.0,154036.0,종로구,종로6가,"LINESTRING (200692.861774 552266.487765, 200692.861774 552270.805765)",4.318000004859641,0.0,0.3281689456756267,0.515848082725406,0,0.2653941384495072,0.88
1971,232291,128369.0,128370.0,종로구,신영동,"LINESTRING (196545.046784 555852.143641, 196554.972257 555819.232861)",34.374910379028954,0.4204091590809338,0.3292907426610254,0.0,0,0.0084136234315244,0.88
1972,167485,89716.0,89718.0,종로구,숭인동,"LINESTRING (202046.379762 552518.390155, 202038.461332 552512.259757, 202035.651567 552510.471725, 202014.706042 552513.536923)",34.51321677341285,0.0,0.7325637098740851,0.0,0,0.123340332151003,0.94
1973,121004,128556.0,128555.0,종로구,무악동,"LINESTRING (196507.695661 552832.187778, 196534.860114 552856.217871)",36.26779443525525,0.0,0.0,0.0,0,0.1685643217197809,0.88
1974,160263,130991.0,130993.0,종로구,통의동,"LINESTRING (197543.12006 553261.660397, 197545.993224 553245.727401)",16.189979952223734,0.0,0.125,0.0,0,0.1925961989895296,0.88
1975,144467,128277.0,128279.0,종로구,구기동,"LINESTRING (196411.836484 556171.587164, 196414.709647 556161.400494)",10.584106646350554,0.0,0.0,0.0,0,0.0,0.84
1976,116445,158262.0,72496.0,종로구,팔판동,"LINESTRING (198294.582871 553813.89545, 198278.388678 553814.417844, 198266.765426 553816.180921)",27.95882465898672,0.0,0.2,0.0,0,0.8408045627195782,0.88
1977,253729,134087.0,134088.0,종로구,계동,"LINESTRING (198860.334852 553430.71994, 198859.551262 553414.003353, 198853.543738 553414.003353)",22.74246533669085,0.0,0.0,0.0,0,0.9460986432755926,0.88
1978,253735,136156.0,136159.0,종로구,명륜1가,"LINESTRING (199828.901067 554095.61238, 199838.82654 554095.61238, 199852.93116 554090.388447)",24.966410323736035,0.0,0.875,0.0,0,0.1235103615004083,0.88
1979,222176,141932.0,141931.0,종로구,충신동,"LINESTRING (200600.703123 552832.173956, 200588.590697 552829.804134)",12.342078806265064,0.0,0.0,0.0,0,0.1176707208625687,0.88
1980,254291,147628.0,147630.0,종로구,옥인동,"LINESTRING (197109.729491 553534.872111, 197091.184527 553528.342194)",19.66101415154147,0.0,0.0,0.0,0,0.9081997058978256,0.88
1981,198414,99434.0,99435.0,종로구,숭인동,"LINESTRING (201898.354108 553253.184531, 201907.679519 553238.520286)",17.378244568050334,0.0,0.0,0.0,0,0.0370797358298843,0.94
1982,253784,135461.0,135462.0,종로구,익선동,"LINESTRING (199144.778022 552712.494405, 199136.158532 552708.315258, 199130.673402 552707.009275)",15.217650784157936,0.0,0.0,0.0,0,0.1709466259324099,0.88
1983,141906,135670.0,135679.0,종로구,종로3가,"LINESTRING (199323.697739 552313.2553, 199351.645782 552314.03889)",27.95902611077346,0.0,1.0,0.6134411766380092,0,0.8638076832765934,0.88
1984,198331,146159.0,129221.0,종로구,부암동,"LINESTRING (197168.588527 555114.524253, 197190.529047 555148.47982, 197198.526071 555152.099576, 197223.808747 555157.833791)",75.13019765261409,0.0,0.0,0.0,0,0.1132823159006756,0.88
1985,237904,128826.0,128823.0,종로구,부암동,"LINESTRING (196756.224289 554648.353502, 196784.694726 554682.047872, 196796.970969 554688.838985)",58.14153490807258,0.0,0.6230175962603733,0.0,0,0.1566821074919857,0.88
1986,238823,130960.0,130957.0,종로구,창성동,"LINESTRING (197539.9857 553366.139064, 197547.299207 553369.273424, 197552.52314 553373.974964, 197557.747074 553375.542144)",20.438888248221964,0.0,1.0,0.0,0,0.9174993844922956,0.88
1987,253861,167093.0,167094.0,종로구,부암동,"LINESTRING (196547.397554 554524.742179, 196546.875161 554499.667299, 196513.441987 554475.637206, 196516.053954 554457.353439, 196506.650874 554443.771213, 196512.397201 554430.188986, 196518.665921 554418.435136, 196528.069001 554411.121629)",141.22353706403874,0.0,0.0,0.0,0,0.0969752229001332,0.88
1988,165742,134258.0,134259.0,종로구,관훈동,"LINESTRING (198710.146768 552828.204528, 198695.258558 552822.719398)",15.866488225369434,0.0,0.0,0.0,0,0.9496948882425564,0.88
1989,165743,194306.0,194307.0,종로구,창신동,"LINESTRING (200818.337774 552798.109765, 200829.005774 552801.919765)",11.327944396106908,0.0,0.0,0.0,0,0.1843176421523262,0.88
1990,246750,135596.0,135597.0,종로구,돈의동,"LINESTRING (199232.017709 552487.734673, 199223.920612 552506.01844)",19.99647715722413,0.0,1.0,0.280408946503047,0,0.197604468144545,0.88
1991,130325,136553.0,136661.0,종로구,원남동,"LINESTRING (199783.97524 552835.469061, 199786.848404 552791.065627)",44.49629156820277,0.0,0.0,0.0,0,0.1138799728382277,0.88
